location_code,location_name,month,month_name,measurement_table,measurement_setup,sun_included,patch,patch_almucantar,patch_azimuth,time_bin_minutes,time_of_day,samples_averaged,was_filled,room,fit_unit,fit_rmse,fit_mae,fit_success,fit_nfev,target_integral,reconstructed_integral,coolWhite_pct,blue_pct,cyan_pct,green_pct,amber_pct,red_pct,deepRed_pct,farRed_pct
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,540,09:00,2.0,False,G7,photon,0.02663135819533244,0.020057957724117795,True,9,20.25643998073602,14.385153489248392,2.5312652654379857,1.8564735338075598,2.266223915665926,1.2688696102403991,3.1242318846025343,1.233159656324488e-32,2.3463165341967462,3.2384473153969937
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,545,09:05,2.0,False,G7,photon,0.034038928527647117,0.0253894430996825,True,5,26.26387020275392,18.709350474106422,2.8226032359300177,2.067766887078992,2.59535326238763,1.526291828289845,3.6011221970679665,7.30101660233218e-23,2.666497621774748,3.9292691128577797
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,550,09:10,1.0,False,G7,photon,0.03998615656401654,0.02966419749713955,True,4,31.1412257133341,22.241113623457785,3.0440869019911783,2.215375201120369,2.8684191945199564,1.7583180070026176,4.055949889682788,1.3312097510908596e-21,2.942467337252206,4.481717805260187
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,555,09:15,1.0,False,G7,photon,0.04337400020534439,0.03235399221978765,True,4,34.4378973243773,24.67139316623322,3.2351615685505473,2.3084370606196107,3.0540765259203133,1.866902396250381,4.248193802743613,1.0566711963129561e-22,3.1017038152384266,4.808472868463475
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,560,09:20,1.0,False,G7,photon,0.030763663456554305,0.023051886952587766,True,7,23.7578851640325,16.915943412813014,2.7079477352948746,1.9844831599241983,2.447650762645325,1.394405621742405,3.3844062435687907,4.858098603950256e-30,2.5108074616693874,3.669926127841529
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,565,09:25,2.0,False,G7,photon,0.10983635549810696,0.08229320794367903,True,6,90.77336244465317,64.61827203900121,6.94865134098741,4.154641350990651,6.461291963783348,3.1692937819094125,4.380975117890945,4.4647509101668793e-26,5.074020813774778,9.845769264010018
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,570,09:30,1.0,False,G7,photon,0.19344787012845951,0.14564066191866754,True,5,161.354492346502,115.93250727207419,11.333481862796505,6.424714224100616,10.997676075182065,4.722958518036375,5.831542911639007,2.342286636714345e-21,7.822799996424951,17.342293954373872
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,580,09:40,1.0,False,G7,photon,0.19950558683394073,0.15025529862311102,True,4,166.68960437762098,119.8150927555968,11.58588453533005,6.58176978397674,11.283267325420585,4.8532510559617785,6.279266618394421,5.963008568954749e-25,8.113119905101824,18.028777394694206
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,585,09:45,1.0,False,G7,photon,0.20266105404992554,0.15278831119407457,True,4,169.844103343148,122.2243686178073,11.70123862063007,6.680444716042354,11.463896536121801,4.9697305861965475,6.74456756616123,9.687397717509108e-24,8.330634274850821,18.402585342690706
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,595,09:55,1.0,False,G7,photon,0.03993656146165309,0.02960862604883982,True,9,31.2272867632986,22.29433344972307,3.0607969189100066,2.216474294405432,2.8526196294561803,1.7395861783746243,4.022864220368422,2.642191597841978e-15,2.895687240357377,4.52385452187235
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,600,10:00,1.0,False,G7,photon,0.044032959014387876,0.03259662956401392,True,4,34.5966792042573,24.72462498986512,3.2254013760847937,2.2996285616287886,3.03622087253974,1.8765136247036613,4.301751007097782,1.2561406952067958e-23,3.0722159059924268,4.8996103376743445
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,605,10:05,1.0,False,G7,photon,0.04652265389469586,0.03443998453725128,True,4,36.7719011821174,26.310922491911306,3.3328385150026474,2.346841751014874,3.151006064392532,1.95465874557494,4.471691833363246,4.812243651682652e-21,3.184755921100121,5.180475361535877
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,610,10:10,1.0,False,G7,photon,0.04223764676456654,0.031209355942483964,True,5,32.987806895589,23.556146588582372,3.13261334497935,2.2588299389686957,2.9454683898135587,1.8383137146433637,4.2135873237408,5.780214395998346e-25,2.9840655531294704,4.740002594912973
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,615,10:15,2.0,False,G7,photon,0.04047081570642256,0.02999480899244596,True,4,31.690451581078527,22.640087775223257,3.076535376964748,2.231463000420648,2.8789888996460915,1.796488372545499,4.088906568908998,4.574278020671974e-23,2.911926106013984,4.574192767073303
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,620,10:20,2.0,False,G7,photon,0.03442051613223547,0.025520583537800696,True,6,26.41812730034657,18.784593258472107,2.8176718260344904,2.0679705613422814,2.5815826974761125,1.5683206887911063,3.64866824871211,2.0346694057199387e-28,2.6230806709893915,3.994100612229231
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,625,10:25,2.0,False,G7,photon,0.03777897867469977,0.02802365153981365,True,4,29.419423103183068,20.992721732499675,2.9647667294796536,2.1648859998608807,2.7506835043348987,1.6955273661297785,3.910484950726548,1.8925544641938902e-22,2.790386886147789,4.321700603453709
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,630,10:30,1.0,False,G7,photon,0.19122235571412646,0.14399862571220468,True,7,159.58430775240197,114.56553948450511,11.249752747725676,6.3122064007932694,10.782124591175974,4.655621098205165,5.898677266266141,6.228903447305768e-26,7.746862981339522,16.888471043007115
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,635,10:35,1.0,False,G7,photon,0.05763206703067394,0.04232621424250083,True,14,45.6407085298619,32.660212242031406,3.7445403725107433,2.516680793885712,3.6263014977046053,2.2499901530648954,5.273880388670486,2.3448573054112e-10,3.6438157803430644,6.235815674763451
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,640,10:40,1.0,False,G7,photon,0.060327675298309076,0.0442800830956075,True,4,47.773565331973,34.150910252812075,3.844477040024056,2.572417033880925,3.736161813207969,2.305776357900849,5.427489854975695,3.4973107133793893e-23,3.7327806256531266,6.508693206087504
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,650,10:50,2.0,False,G7,photon,0.07997174006920048,0.058800636180132676,True,5,64.07993682739479,46.02585109065197,4.512375322049095,3.0217974955004623,4.660501165084944,2.7677804926010574,7.275109883245256,4.0282611202438254e-25,4.614671013365856,8.432776715490395
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,655,10:55,1.0,False,G7,photon,0.0883865636615795,0.0651122232489406,True,4,71.0698106043263,51.040313655162535,4.83083874113802,3.2130559996617842,5.028301408101446,2.9544012125124803,7.88557678439365,3.4325871551014e-22,4.9413182314889985,9.275961419986082
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,670,11:10,1.0,False,G7,photon,0.06835852155868,0.049923383102010034,True,6,53.895946457317905,38.49195835109197,4.079863961597115,2.7562195685875093,4.079057616719808,2.5194495805051687,6.090116362702449,6.587278110727378e-26,4.013628926674968,7.274327626479917
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,735,12:15,1.0,False,G7,photon,0.12170017637084578,0.08925768592962564,True,5,97.132401238314,69.94998498652248,5.910402083627179,3.853372813683868,6.294772007792413,3.7889338924240166,10.619397866510708,2.480652495226281e-22,6.31353659971566,12.767749787280394
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,740,12:20,2.0,False,G7,photon,0.13612042792379975,0.09954046275556161,True,4,108.26592858892849,77.9155628460306,6.354658250534797,4.134461332221861,6.83564076164935,4.143953431259066,11.80858549219119,3.498493815213388e-21,6.854150995068233,14.30832202420101
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,755,12:35,1.0,False,G7,photon,0.1733381047838522,0.12877762199242324,True,6,139.34733130987502,98.14773903486986,10.337781113493586,5.565948852593237,8.875187946686097,3.8339918528554855,3.6490161942210344,3.176679704163599e-24,6.778938555926121,14.258082812856804
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,795,13:15,1.0,False,G7,photon,0.16534107277669569,0.12274908726874127,True,9,134.103619401739,94.65286572255778,10.46340699812046,5.383906792126806,8.648030766451768,3.5067067167980612,2.0351789679185432,7.24694805121846e-33,6.540521816307698,13.093894763351132
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,815,13:35,1.0,False,G7,photon,0.166460738742891,0.12428487900365844,True,5,136.126737321757,96.50440612538644,10.248532379306203,5.492971713545692,8.823345057789714,3.907648093456155,3.552653566434045,1.2602445003205143e-24,6.659093690107974,13.499104786462238
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,820,13:40,2.0,False,G7,photon,0.16510230201985762,0.12323721435257759,True,4,135.21545923261348,95.8960270149449,10.254969822744323,5.478501773260736,8.810656165516825,3.8559186138020682,3.3227612444434675,4.0044714194302136e-22,6.598634988648143,13.293896699244758
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,825,13:45,2.0,False,G7,photon,0.16574261863147466,0.12379678770913034,True,3,136.07519998248796,96.59475563051998,10.33149058113925,5.516329463536166,8.875740560819896,3.882279618696738,3.29819295217132,1.0572781096231864e-17,6.634428534117735,13.32647126708081
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,865,14:25,2.0,False,G7,photon,0.10661655920674958,0.07639837329424977,True,7,81.73699802325459,58.329379103343655,5.155126134229016,3.4104879068601512,5.435526691705687,3.3368609479033466,9.083907782416391,1.6016128132447802e-23,5.40845428712429,11.227977762500847
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,875,14:35,3.0,False,G7,photon,0.09422662385756252,0.06679033871140092,True,6,70.81455569405092,50.09977779653833,4.682999055147141,3.1047663359570503,4.843002240330203,2.9826616002889,7.940546765905241,1.4924151963324995e-26,4.7983728178672695,9.740419085277878
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,880,14:40,1.0,False,G7,photon,0.10090818800548083,0.07189593416511456,True,4,76.5138420312708,54.46839517418138,4.91145057644312,3.2609693632169154,5.149775520807658,3.1757482259820407,8.595863857452754,2.8056429634472384e-19,5.149957590031851,10.613640173052067
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,890,14:50,1.0,False,G7,photon,0.0963312138339279,0.06803355661428619,True,4,71.8928181817586,50.96756975685659,4.70506566033076,3.118170159829713,4.883619822757982,3.0216259673929424,8.085090162646564,6.645188254995795e-20,4.859937205130937,10.119880972481814
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,895,14:55,1.0,False,G7,photon,0.10705371503472594,0.07569417417168758,True,4,79.861282990099,56.664869121695716,5.0140293418356965,3.328744505316443,5.28986372793479,3.3097398047489572,8.970015447532257,1.1949733425182554e-20,5.312343519541198,11.082370276509835
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,900,15:00,1.0,False,G7,photon,0.10630470712994936,0.07536544050667233,True,3,79.77011003297181,56.659249238014226,5.0268527469252,3.3312482779818455,5.289180891721435,3.292608877250075,8.922648549288445,6.778091918556296e-19,5.30592182142145,11.071095036556478
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,905,15:05,1.0,False,G7,photon,0.10798845959596681,0.07692899099366508,True,3,81.7818659839116,58.19327637593376,5.125627703752933,3.3975672106308004,5.410667418868845,3.341453930170168,9.10836050655354,1.3357620468977334e-17,5.411400127939233,11.308762319334539
