timestamp,Lamp 1_%,Lamp 2_%,Lamp 3_%,Lamp 4_%,Lamp 5_%,Lamp 6_%
2024-01-01 07:25:00,2020.2066662803556,1273.4260627080969,7104.540142273876,5782.577715594697,523.1378773323355,19.276110565528963
2024-01-01 07:30:00,2020.2066662803556,1273.4260627080969,7104.540142273876,5782.577715594697,523.1378773323355,19.276110565528963
2024-01-01 07:35:00,2020.2066662803556,1273.4260627080969,7104.540142273876,5782.577715594697,523.1378773323355,19.276110565528963
2024-01-01 07:40:00,2020.2066662803556,1273.4260627080969,7104.540142273876,5782.577715594697,523.1378773323355,19.276110565528963
2024-01-01 07:45:00,2020.2066662803556,1273.4260627080969,7104.540142273876,5782.577715594697,523.1378773323355,19.276110565528963
2024-01-01 07:50:00,2020.2066662803556,1273.4260627080969,7104.540142273876,5782.577715594697,523.1378773323355,19.276110565528963
2024-01-01 07:55:00,2020.2066662803556,1273.4260627080969,7104.540142273876,5782.577715594697,523.1378773323355,19.276110565528963
2024-01-01 08:00:00,2205.259882376256,1390.0733306821003,7755.324056689371,6312.2683761871385,571.0578987231057,21.04182410044127
2024-01-01 08:05:00,2205.259882376256,1390.0733306821003,7755.324056689371,6312.2683761871385,571.0578987231057,21.04182410044127
2024-01-01 08:10:00,2205.259882376256,1390.0733306821003,7755.324056689371,6312.2683761871385,571.0578987231057,21.04182410044127
2024-01-01 08:15:00,2205.259882376256,1390.0733306821003,7755.324056689371,6312.2683761871385,571.0578987231057,21.04182410044127
2024-01-01 08:20:00,2205.259882376256,1390.0733306821003,7755.324056689371,6312.2683761871385,571.0578987231057,21.04182410044127
2024-01-01 08:25:00,2205.259882376256,1390.0733306821003,7755.324056689371,6312.2683761871385,571.0578987231057,21.04182410044127
2024-01-01 08:30:00,2205.259882376256,1390.0733306821003,7755.324056689371,6312.2683761871385,571.0578987231057,21.04182410044127
2024-01-01 08:35:00,2205.259882376256,1390.0733306821003,7755.324056689371,6312.2683761871385,571.0578987231057,21.04182410044127
2024-01-01 08:40:00,2205.259882376256,1390.0733306821003,7755.324056689371,6312.2683761871385,571.0578987231057,21.04182410044127
2024-01-01 08:45:00,2205.259882376256,1390.0733306821003,7755.324056689371,6312.2683761871385,571.0578987231057,21.04182410044127
2024-01-01 08:50:00,2205.259882376256,1390.0733306821003,7755.324056689371,6312.2683761871385,571.0578987231057,21.04182410044127
